New,title,"my lable",owned,Trade,Manufacturer,Part,"Label ID","Alt ID 1","Alt ID 2","Alt ID 3",Type,Family,Sub-Family,sub-family2,sub-family3,Core,CPUID,"Instruction set","IS Ext","Instruction link","Computer architecture",ISA,Microarchitecture,"Designer of Core",Clone,Cores,Pipeline,Multiprocessing,Architecture,"Bus Width","Address Width",Speed,"Bus speed","Bus type","Clock multiplier",FPU,GPU,DSP,"L1 cache","L1 shared","L1 data","L1 instruction","L2 cache","L3 cache","ROM Int","ROM type","RAM Int","RAM Max","RAM type",Package,"Package Size",Socket,Transistors,"Process Size",Technology,"Die Size",Vcc,"Vcc range",Vcore,"Vcc (I/O)","V(I/O) secondary","V(I/O) tertiary","Power min","Power typ","Power max",TDP,"Low power modes",Grade,"Date Introduced",Year,"Initial price",Applications,Features,Tags,Rarity,Description,"Photo 1","Photo 2","Photo 3","Photo 4","Photo 5","Photo die","Photo die license",Datasheet,"Reference 1","Reference 2","Reference 3","Reference 4","Reference 5",blank
,,HF,1,X,AMD,Am29000-25GC,,,,,CPU,Am29000,,,,Am29000,,Am29000,,http://www.amd.com/epd/29k/29kprog/29kprog.pdf,RISC,Am29000,,AMD,No,1,,,32,32,32,25MHz,,,,"ext (Am29027)",none,,512B?,,,,none,none,NA,NA,NA,"4GB virtual",,CPGA-169,,,,,CMOS,,5V,,,5V,,,,,2.89W,,,,,,,,,,,,ic-photo-AMD--Am29000-25GC-(29000-CPU).png,,,,,,,datasheet-AMD-Am29000_Am29005.pdf,,,,,,
,,LH,1,X,AMD,Am29030-25FC,,,,,CPU,Am29000,,,,Am29000,,Am29000,,http://www.amd.com/epd/29k/29kprog/29kprog.pdf,RISC,Am29000,,AMD,No,1,,,32,16/32,32,25MHz,25MHz,,,none,none,,8k,,,,,,NA,NA,NA,"4G virt",,PQFP-144,,NA,,,CMOS,,5V,,,5V,,,,,,,,,1991,1991,,,,,,,ic-photo-AMD--Am29030-25FC--(Am29000-CPU).png,,,,,,,datasheet-AMD-Am29030_Am29035.pdf,,,,,,
,,HY,1,X,AMD,Am29030-25GC,,,,,CPU,Am29000,,,,Am29000,,Am29000,,http://www.amd.com/epd/29k/29kprog/29kprog.pdf,RISC,Am29000,,AMD,No,1,,,32,16/32,32,25MHz,25MHz,,,none,none,,8k,,,,,,NA,NA,NA,"4G virt",,CPGA-145,,,,,CMOS,,5V,,,5V,,,,,,,,,,,,,,,,"32-bit RISC Microprocessor",ic-photo-AMD--Am29030-25GC-(Am29000-CPU).jpg,,,,,,,datasheet-AMD-Am29030_Am29035.pdf,,,,,,
,,,1,X,AMD,Am29030-33KC,,,,,CPU,Am29000,,,,Am29000,,Am29000,,http://www.amd.com/epd/29k/29kprog/29kprog.pdf,RISC,Am29000,,AMD,No,1,,,32,16/32,32,33MHz,,,,none,none,,8k,,,,,,NA,NA,NA,"4G virt",,PQFP-144,,NA,,,CMOS,,5V,,,5V,,,,,,,,,,,,,,,,"On a COMPAQ 2CH LVD/SE SCSI Array Controller",,,,,,,,datasheet-AMD-Am29030_Am29035.pdf,,,,,,
,,HX,1,X,AMD,Am29040-33GC,,,,,CPU,Am29000,,,,,,Am29000,,http://www.amd.com/epd/29k/29kprog/29kprog.pdf,RISC,Am29000,,AMD,No,1,,,32,16/32,32,33MHz,,,,,none,,8k/4k,,,,none,none,NA,NA,NA,"4G virt",,CPGA-145,,,,,CMOS,,3.3V,,,5V,,,,,,,,,,,,"Computer peripherals",,,,"32bit RISC microprocessor with Hardware Multiply",ic-photo-AMD--Am29040-33GC-(Am29000-CPU).png,,,,,,,datasheet-AMD-Am29040.pdf,,,,,,
,,LO,1,X,AMD,Am29040-33KC,,,,,CPU,Am29000,,,,,,Am29000,,http://www.amd.com/epd/29k/29kprog/29kprog.pdf,RISC,Am29000,,AMD,No,1,,,32,16/32,32,33MHz,,,,,none,,8k/4k,,,,none,none,NA,NA,NA,"4G virt",,PQFP-144,,NA,,,CMOS,,3.3V,,,5V,,,,,,,,,,,,,,,,"32bit RISC microprocessor with Hardware Multiply",ic-photo-AMD--Am29040-33KC-(Am29000-CPU).png,,,,,,,datasheet-AMD-Am29040.pdf,,,,,,
NEW,,,1,x,AMD,Am29040-50KC,,,,,CPU,Am29000,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BA, BB, BC, BD, BE, BF",6,5,AMD,Am29045-50KC,,,,,CPU,Am29000,,,,,,Am29000,,http://www.amd.com/epd/29k/29kprog/29kprog.pdf,RISC,Am29000,,AMD,No,1,,,32,,,50MHz,,,,,none,,,,,,,,NA,NA,NA,,,PQFP-144,,NA,,,CMOS,,,,,,,,,,,,,,,,,Networking,,,,"32bit RISC processor, 50MHz, 133Mbps bus speed, AMD had quietly let slip earlier this year that it was planning to announce a new 29K product next month, to be called the 29045. The company is now uncertain whether it will proceed with development and marketing of that device, a spokesman said.",ic-photo-AMD--Am29045-50KC-(Am29000-CPU).png,,,,,,,,,,,,,
,,HW,1,X,AMD,Am29050-40GC,,,,,CPU,Am29000,,,,,,"Am29000, FPU",,http://www.amd.com/epd/29k/29kprog/29kprog.pdf,RISC,Am29000,,AMD,No,1,,,32,32,32,40MHz,,,,integrated,none,,1k,,,,none,none,NA,NA,NA,"4G virt",,CPGA-169,,,,,CMOS,,5V,,,,,,,,,,,,1990,1990,,,,,,.,ic-photo-AMD--Am29050-40GC-(Am29000-CPU).png,,,,,,,datasheet-AMD-Am29050.pdf,,,,,,
,,HB,1,X,AMD,AM29116DC,,,,,BSP,Am29000,,,,,,,,,RISC,Am29000,,AMD,No,1,,,16,16,5?,100MHz,,,,none,none,,none,,,,none,none,NA,NA,NA,64B?,,CDIP-52,,DIP,,,Bipolar,,5V,,,,,,,,,,,,,,,,,,,"High-performance 16-bit microprocessor",ic-photo-AMD--AM29116DC-(Am29000-CPU).png,,,,,,,datasheet-AMD-Am29116_Am29L116A_Am29116A.pdf,,,,,,
,,LI,1,X,AMD,Am29205-16KH,,,,,MCU,Am29000,,,,,,,,,RISC,Am29000,,AMD,No,1,,,32,16,24,16MHz,,,,none,none,,none,,,,none,none,,,,8M,,P-BQFP-100,,NA,,,CMOS,,5V,,,5V,,,,,,,,,1992,1992,,Printers,,,,"FROM PRINTER",ic-photo-AMD--Am29205-16KH--(Am29000-CPU).png,,,,,,,datasheet-AMD-Am29200_Am29205.pdf,,,,,,
NEW,,,1,x,AMD,Am29240-20KC,,,,,MCU,Am29000,,,,,,,,,RISC,Am29000,,AMD,No,1,,,32,32,32,20Mhz,,,,none,none,none,,,2k,4k,none,none,,,,16M,,P-BQFP-96,,NA,,,,,,,,,,,,,,,,,,,,,"MMU, DMA, PIA, PIOm serial, INT, JTAG",,,,,,,,,,,datasheet-AMD-Am29202.pdf,http://cpushack.com/Am29k.html,,,,,
,,HU,1,X,AMD,AM29516DC,,,,,Support,Am29000,,,,,,,,,RISC,Am29000,,AMD,No,NA,,,16,16,X,,,,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,CDIP-64,"2.45in x 0.8in",DIP,,,Bipolar,,5V,,,,,,,,,,,,,,,,,,,"hardware multiplier 16x16, 32bit answers through 16bit output",ic-photo-AMD--AM29516DC-(Am29000-Multiplier).png,,,,,,,datasheet-AMD-Am29516_Am29517.pdf,,,,,,
,,,1,X,AMD,AM29818DC,,,,,Support,Am29000,,,,,,,,,RISC,Am29000,,AMD,No,NA,,,,8,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,DIP-24,,DIP,,,Bipolar,,5V,,,,,,,,,,,,,,,,,,0,,ic-photo-AMD--AM29818DC-(Am29000).png,,,,,,,,,,,,,
,,,3,2,AMD,AM29821APC,,,,,Support,Am29000,,,,,,,,,RISC,Am29000,,AMD,No,NA,,,,10,X,X,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,PDIP,,DIP,,,,,,,,,,,,,,,,,,,,,,,0,"10-bit D flip-flop with Tri-State output",ic-photo-AMD--AM29821-(Am29000).png,,,,,,,datasheet-AMD-Am29821A-Am29826A.pdf,,,,,,
,,,1,X,AMD,AM29827APC,,,,,Support,Am29000,,,,,,,,,RISC,Am29000,,AMD,No,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,DIP,,,,,,,,,,,,,,,,,,,,,,,0,,ic-photo-AMD--AM29827APC-(Am29000).png,,,,,,,datasheet-AMD-Am29827-Am29828.pdf,,,,,,
,,,1,X,AMD,AM29841DC,,,,,Support,Am29000,,,,,,,,,RISC,Am29000,,AMD,No,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,DIP,,,,,,,,,,,,,,,,,,,,,,,0,,ic-photo-AMD--AM29841DC-(Am29000).png,,,,,,,datasheet-AMD-Am29841-46.pdf,,,,,,
,,HH,1,X,AMD,Am29C111-1GC,,,,,BSP,Am29000,,,,,,,,,RISC,Am29000,,AMD,No,1,,,16,,,14MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,32k,,CPGA-68,,,,1.2u,CMOS,,5V,,,,,,,,,,,,,,,,,,,"Microprogram Sequencer Controller",ic-photo-AMD--AM29C111-1GC-(Am29000).png,,,,,,,datasheet-AMD-Am29C111.pdf,,,,,,
,,HV,1,X,AMD,Am29C327GC,,,,,FPU,Am29000,,,,,,,,,RISC,Am29000,,AMD,No,1,,,,,,10MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,CPGA,,,,,CMOS,,5V,,,,,,,,,,,,,,,,,,,.,ic-photo-AMD--AM29C327GC-(Am29000-FPU).png,,,,,,,datasheet-AMD-1988_29C3xx_Series.pdf,,,,,,
,,On-AMD-board,1,X,AMD,AM29C660DJC,,,,,Support,Am29000,,,,,,,,,RISC,Am29000,,AMD,No,NA,,,,64,,10MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,PLCC,,PLCC,,,CMOS,,5V,,,,,,,,,,,,,,,,,,0," CRC-Polynomial Error Circuit - Cascadable 64-bits of data",ic-photo-AMD--AM29C660DJC-(Am29000).png,,,,,,,datasheet-AMD--AM29C660.pdf,,,,,,
,,AW,2,1,AMD,AM29C983JC,,,,,Support,Am29000,,,,,,,,,RISC,Am29000,,AMD,No,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,5V,,,,,,,,,,,,,,,,,,0,.,ic-photo-AMD--AM29C983JC-(Am29000).png,,,,,,,datasheet-AMD--Am29C983.pdf,,,,,,
NEW,,,1,x,AMD,AM29CPL151H-33DC,,,,,"Field Programmable Controller",Am29000,AM29151,,,,,AM29PL141,,,,,,AMD,no,1,,,,16,6,33Mhz,,,,none,none,none,none,none,none,none,none,none,64x32b,UV-EPROM,,,,"Windowed C-SkinnyDIP-28",,SkinnyDIP-28,,,CMOS,,5V,,,,,,,,0.6W,,,Commercial,,,,"Embedded systems",,,,,,,,,,,,datasheet-AMD-Am29CPL151H.pdf,,,,,,
,,HG,2,1,AMD,AM29PL141DC,,,,,BSP,Am29000,,,,,,,,,RISC,Am29000,,AMD,No,,,,,,,20MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,CDIP-28,"32mm x 16mm",DIP,,,Bipolar,,5V,,,,,,,,,,,,,,,,,,,SAMPLE,ic-photo-AMD--AM29PL141DC-(Am29000)-sample.png,,,,,,,,,,,,,
,,K5,1,X,AMD,AMD-X5-133ADW,,Am5x86-P75,,,CPU,Am5x86,,,,,,,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,AMD,No,1,,,32,64,32,133MHz,33MHz,,,integrated,none,,16k,,,,,none,NA,NA,NA,4G,,CPGA-168,,,4.3M,0.35u,CMOS,161mm^2?,3.45V,,,,,,,,,,,,1995,1995,,"Desktop computers",,,,Am5x86-P75,ic-photo-AMD--AMD-X5-133ADW-(Am5x86-P75)-(586-CPU).png,,,,,,,datasheet-AMD-Am5x86-family.pdf,,,,,,
,"AHM1000AVS3B (Athlon 4 Mobile)",On-AMD-board,1,X,AMD,AHM1000AVS3B,,,,,CPU,"Athlon 4 Mobile","Athlon 4 Mobile",,,"Palomino (Model 6)",,,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,AMD,No,1,,,32,64,32,1GHz,200MHz,,,integrated,,,64k/64k,,64k,64k,256k,none,NA,NA,NA,4G,,CPGA-453,,"Socket A/462",37.5M,"0.18u, Cu metal layers",CMOS,"128 mm2",1.4V,,,,,,,,,,,,2001,2001,,"Desktop computers","3DNow! Professional",,1,,ic-photo-AMD--AHM1000AVS3B-(Athlon-CPU).png,,,,,,,,,,,,,
NEW,"ADA3400AEP4AX (Athlon 64 3400+)",,1,x,AMD,ADA3400AEP4AX,,,,,CPU,"Athlon 64",,3400+,,NewCastle,FC0,X86-64,"MMX, MMX+, MMX, 3DNow!, 3DNow!+, SSE, SSE2, SSE3, AMD64, EVP",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,K8,AMD,No,1,,,64,,,2.4GHz,,,12,integrated,none,,64k/64k,,64k,64k,512k,,NA,NA,NA,1T,DDR,"lidded uOPGA-754","40mm x 40mm","Socket 754",,0.13u,CMOS,,1.5V,,1.5V,,,,,,,"89 W","Halt, Stop grant, Cool'n'Quiet",70°C,,,,"Desktop computers",HyperTransport,,1,,,,,,,,,,,,,,,
NEW,"ADA3400DAA4BY (Athlon 64 3400+)",,1,x,AMD,ADA3400DAA4BY,,,,,CPU,"Athlon 64",,3400+,,Venice,20FF2,X86-64,"MMX, MMX+, MMX, 3DNow!, 3DNow!+, SSE, SSE2, SSE3, AMD64, EVP",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,K8,AMD,No,1,,,64,,,2.2GHz,"1GHz HT","16-bit HT",11,integrated,none,,64k/64k,,64k,64k,512k,,NA,NA,NA,1T,DDR,uOPGA-940,"40mm x 40mm","Socket 939",,,CMOS,,,,,,,,,,,,"Halt, Stop grant, Cool'n'Quiet",,,,,"Desktop computers",,,1,,,,,,,,,,,,,,,
,"ADA3500IAA4CN (Athlon 64 3500+)",,1,x,AMD,ADA3500IAA4CN,,,,,CPU,"Athlon 64",,3500+,,Orleans,40FF2,X86-64,"MMX, MMX+, MMX, 3DNow!, 3DNow!+, SSE, SSE2, SSE3, AMD64, EVP, AMD-V",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,K8,AMD,No,1,,,64,,,2.2GHz,"1GHz HT","16-bit HT",11,integrated,none,,64k/64k,,64k,64k,512k,,NA,NA,NA,1T,DDR2,uOPGA-940,"40mm x 40mm","Socket AM2",164M,"90n SOI",CMOS,103.1mm^2,,,"1.25V / 1.35V / 1.4V",,,,,,,59W,"Cool'n'Quiet technology, Halt, Stop Grant","55°C – 69°C",2006,2006,,"Desktop computers",,,1,,,,,,,,,,,,,,,
NEW,"ADA3800DAA4BW (Athlon 64 3800+)",,1,x,AMD,ADA3800DAA4BW,,,,,CPU,"Athlon 64",,3800+,,Venice,20FF2,X86-64,"MMX, MMX+, MMX, 3DNow!, 3DNow!+, SSE, SSE2, SSE3, AMD64, EVP",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,K8,AMD,No,1,,,64,,,2.4GHz,"1GHz HT","16-bit HT",12,integrated,none,,64k/64k,,64k,64k,512k,,NA,NA,NA,1T,DDR,"lidded uOPGA-939","40mm x 40mm","Socket 939",,"90n SOI",CMOS,,"1.35V / 1.4V",,"1.35V / 1.4V",,,,,,,"85.3 Watt","Halt, Stop grant, Cool'n'Quiet","49°C - 71°C",,,,"Desktop computers",HyperTransport,,1,,,,,,,,,,,,,,,
new,"ADA5600IAA6CZ (Athlon 64 X2 5600+)",,1,x,AMD,ADA5600IAA6CZ,,,,,CPU,"Athlon 64",X2,5600+,,Windsor,40F33,X86-64,"MMX, MMX+, 3DNow!, 3DNow!+, SSE, SSE2, SSE3, AMD64, EVP, AMD-V",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,K8,AMD,No,2,,,64,,,2.8GHz,"1GHz HT","16-bit HT",14,integrated,none,,"2x 64k/64k",,"2x 64k","2x 64k","2X 1M",,NA,NA,NA,1T,DDR2,uOPGA-940,"40mm x 40mm","Socket AM2",243M,"90n SOI",CMOS,,"1.3V / 1.35V",,"1.3V / 1.35V",,,,,,,89W,"Cool'n'Quiet technology, Halt, Stop Grant","55°C - 72°C",,,,"Desktop computers","HyperTransport 2.0 technology",,1,,,,,,,,,,,,,,,
,"AHM1000AVS3B (Athlon 4 Mobile)",,1,X,AMD,ADH4850IAA5DO,,,,,CPU,"Athlon 64","Athlon 64 X2",4850e,,Brisbane,,X86-64,"MMX, MMX+, 3DNow!, 3DNow!+, SSE, SSE2, SSE3, AMD64, EVP, VT",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,K8,AMD,No,2,,,64,,,2.5GHz,"1GHz HT","16-bit HT",12.5,integrated,none,,"2x 64k/64k",,"2x 64k","2x 64k","2x 512k",,NA,NA,NA,1T,DDR2,uOPGA-940,"40mm x 40mm","Socket AM2",221M,65n,CMOS,,1.2V,,"1.15V / 1.2V / 1.25V",,,,,,,45W,"Cool'n'Quiet technology, Halt, Stop Grant",78C,2008,2008,,"Desktop computers",,,1,,,,,,,,,,,,,,,
new,"ADA3400AEP4AX (Athlon 64 3400+)",,1,x,AMD,ADJ2850IAA4DP,,,,,CPU,"Athlon 64","Athlon 64",2850e,,Lima,70FF2,X86-64,"MMX, MMX+, 3DNow!, 3DNow!+, SSE, SSE2, SSE3, AMD64, EVP, AMD-V",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,K8,AMD,No,1,,,64,,,1.8GHz,,,9,integrated,NA,,64k/64k,,64k,64k,512k,,NA,NA,NA,1T,DDR2,uOPGA-940,"40mm x 40mm","Socket AM2",,"65n SOI",CMOS,,,,,,,,,,,22w,"Cool'n'Quiet technology, Halt, Stop Grant",,,,,"Desktop computers","HyperTransport 2.0 technology",,1,,,,,,,,,,,,,,,
,"ADA3400DAA4BY (Athlon 64 3400+)",,1,x,AMD,ADO3600IAA5DD,,,,,CPU,"Athlon 64","Athlon 64 X2",3600+,,Brisbane,,X86-64,"MMX, MMX+, 3DNow!, 3DNow!+, SSE, SSE2, SSE3, AMD64, EVP, AMD-V",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,K8,AMD,No,2,,,64,,,1.9GHz,"1GHz HT","16-bit HT",9.5,integrated,none,,"2x 64k/64k",,"2x 64k","2x 64k","2x 512k",,NA,NA,NA,1T,DDR2,uOPGA-940,"40mm x 40mm","Socket AM2",221M,"65n SOI",CMOS,118mm^2,"1.2V / 1.25V / 1.3V",,"1.2V / 1.25V / 1.3V",,,,,,,65W,"Cool'n'Quiet technology, Halt, Stop Grant","55°C - 72°C",,,,"Desktop computers","HyperTransport 2.0 technology",,1,,,,,,,,,,,,,,,
new,"ADA3500IAA4CN (Athlon 64 3500+)",,1,x,AMD,ADO3800IAA5CU,,,,,CPU,"Athlon 64","Athlon 64 X2",3800+,,Windsor,,X86-64,"MMX, MMX+, 3DNow!, 3DNow!+, SSE, SSE2, SSE3, AMD64, EVP, AMD-V",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,K8,AMD,No,2,,,64,,,2GHz,,,10,integrated,none,,"2x 64k/64k",,"2x 64k","2x 64k","2x 512k",,NA,NA,NA,1T,DDR2,uOPGA-940,"40mm x 40mm","Socket AM2",164M,90n,CMOS,,"1.2V / 1.25V",,"1.2V / 1.25V",,,,,,,65W,"Cool'n'Quiet technology, Halt, Stop Grant","55°C - 72°C",2006,2006,323,"Desktop computers","HyperTransport 2.0 technology",,1,,,,,,,,,,http://www.cpu-world.com/CPUs/K8/AMD-Athlon%2064%20X2%203800+%20-%20ADO3800IAA5CU%20(ADO3800CUBOX).html,,,,,
,"ADA3800DAA4BW (Athlon 64 3800+)",,1,x,AMD,ADO4000IAA5DD,,,,,CPU,"Athlon 64","Athlon 64 X2",4000+,,Brisbane,,X86-64,"MMX, MMX+, 3DNow!, 3DNow!+, SSE, SSE2, SSE3, AMD64, EVP, AMD-V",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,K8,AMD,No,2,,,64,,,2.1GHz,"1GHz HT","16-bit HT",10.5,integrated,none,,"2x 64k/64k",,"2x 64k","2x 64k","2x 512k",,NA,NA,NA,1T,DDR2,uOPGA-940,"40mm x 40mm","Socket AM2",221M,"65n SOI",CMOS,118mm^2,"1.25V / 1.3V / 1.325V",,"1.25V / 1.3V / 1.325V",,,,,,,65W,"Cool'n'Quiet technology, Halt, Stop Grant","55°C - 72°C",2006,2006,169,"Desktop computers",,,1,,,,,,,,,,,,,,,
,"ADA5600IAA6CZ (Athlon 64 X2 5600+)",,1,X,AMD,ADO4600IAA5DO,,,,,CPU,"Athlon 64","Athlon 64 X2",4600+,,Brisbane,,X86-64,"MMX, MMX+, 3DNow!, 3DNow!+, SSE, SSE2, SSE3, AMD64, EVP, AMD-V",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,K8,AMD,No,2,,,64,,,2.4GHz,"1GHz HT","16-bit HT",12,integrated,none,,"2x 64k/64k",,"2x 64k","2x 64k","2x 512k",,NA,NA,NA,1T,DDR2,uOPGA-940,"40mm x 40mm","Socket AM2",221M,"65n SOI",CMOS,,"1.325V / 1.35V / 1.375V",,"1.325V / 1.35V / 1.375V",,,,,,,65W,"Cool'n'Quiet technology, Halt, Stop Grant","55°C - 68°C",2008,2008,,"Desktop computers",,,1,,,,,,,,,,,,,,,
,"ADH4850IAA5DO (Athlon 64 X2 4850e)",,1,X,AMD,ADO5400IAA5DO,,,,,CPU,"Athlon 64","Athlon 64 X2",5400+,,Brisbane,,X86-64,"MMX, MMX+, 3DNow!, 3DNow!+, SSE, SSE2, SSE3, AMD64, EVP, AMD-V",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,K8,AMD,No,2,,,64,,,2.8GHz,"1GHz HT","16-bit HT",14,integrated,none,,"2x 64k/64k",,"2x 64k","2x 64k","2x 512k",,NA,NA,NA,1T,DDR2,uOPGA-940,"40mm x 40mm","Socket AM2",221M,"65n SOI",CMOS,,"1.3V / 1.35V",,"1.3V / 1.35V",,,,,,,65W,"Cool'n'Quiet technology, Halt, Stop Grant","55°C - 68°C",,,,"Desktop computers",,,1,,,,,,,,,,,,,,,
new,"ADJ2850IAA4DP (Athlon 64 2850e)",,1,x,AMD,ADO5600IAA5DO,,,,,CPU,"Athlon 64","Athlon 64 X2",5600+,,Brisbane,,X86-64,"MMX, MMX+, 3DNow!, 3DNow!+, SSE, SSE2, SSE3, AMD64, EVP, AMD-V",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,K8,AMD,No,2,,,64,,,2.9GHz,"1GHz HT","16-bit HT",14.5,integrated,none,,"2x 64k/64k",,"2x 64k","2x 64k","2x 512k",,NA,NA,NA,1T,DDR2,uOPGA-940,"40mm x 40mm","Socket AM2",221M,"65n SOI",CMOS,,,,,,,,,,,65W,"Cool'n'Quiet technology, Halt, Stop Grant",,2008,2008,,"Desktop computers","HyperTransport 2.0 technology",,1,,,,,,,,,,,,,,,
NEW,"ADO3600IAA5DD (Athlon 64 X2 3600+)",,1,x,AMD,AMDTK55HAX4DC,,,,,CPU,"Athlon 64","Athlon X2",TK-55,,Tyler,60F81,X86-64,"MMX, MMX+, 3DNow!, 3DNow!+, SSE, SSE2, SSE3, AMD64, EVP, AMD-V",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,K8,AMD,no,2,,,64,,,1.8GHz,"800MHz HT",,9,integrated,none,,"2x 64k/64k",,"2x 64k","2x 64k","2x 256k",,NA,NA,NA,1T,DDR2,"lidless uPGA-638","35mm x 35mm","Socket S1 (S1g1)",,"65n SOI",CMOS,,,,,,,,,,,31W,"PowerNow!, Deeper Sleep state",95C,,,,"Mobile computers",,,1,,,,,,,,,,,,,,,
,"ADO3800IAA5CU (Athlon 64 X2 3800+)",,1,X,AMD,AMGTF20HAX4DN,,,,,CPU,"Athlon 64","Athlon 64 Neo TF",TF-20,,Sherman,70FC2,X86-64,"MMX, MMX+, 3DNow!, 3DNow!+, SSE, SSE2, SSE3, AMD64, AMD-V, EVP",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,K8,AMD,No,1,,,64,,,1.6GHz,"800MHz (HT)",,8,integrated,none,,64k/64k,,64k,64k,512k,,NA,NA,NA,,DDR2,"lidless organic uPGA-638","35mm x 35mm","Socket S1",,"65n SOI",CMOS,,,,,,,,,,,15W,PowerNow!,95C,,,,"Mobile computers",,,1,,,,,,,,,,,,,,,
NEW,"ADO4000IAA5DD (Athlon 64 X2 4000+)",,1,X,AMD,AD235EHDK23GQ,,,,,CPU,"Athlon II",X2,235e,,Regor,100F62,X86-64,"MMX, MMX+, 3DNow!, 3DNow!+, SSE, SSE2, SSE3, SSE4a, AMD64, EVP",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,K10,AMD,No,2,,,64,,,2.7GHz,"533MHz RAM, 2GHz HT",,13.5,integrated,none,,"2x 64k/64k",,"2x 64k","2x 64k","2X 1M",none,NA,NA,NA,,"DDR2, DDR3",uOPGA-938,,"Socket AM2+, AM3",234M,"45n SOI",CMOS,117.5,"1.1V - 1.35V",,"1.1V - 1.35V",,,,,,,"45 Watt","Cool'n'Quiet 3.0, CoolCore, Dual Dynamic Power Management, core C1, C1E states, package S0, S1, S2, S3, S4, S5 states","55°C - 72°C",2009,2009,69,"Desktop computers",,,1,,,,,,,,,,,,,,,
,"ADO4600IAA5DO (Athlon 64 X2 4600+)",,1,X,AMD,ADX215OCK22GQ,,,,,CPU,"Athlon II","Athlon 64 X2",215,,Regor,,X86-64,"MMX, MMX+, 3DNow!, 3DNow!+, SSE, SSE2, SSE3, SSE4a, AMD64, EVP",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,K10,AMD,No,2,,,64,,,2.7GHz,"533MHz RAM, 2GHz HT",,13.5,integrated,none,,"2x 64k/64k",,"2x 64k","2x 64k","2x 512k",none,NA,NA,NA,,"DDR2, DDR3",uOPGA-938,,"Socket AM2+, AM3",234M,"45n SOI",CMOS,117.5,"0.85V - 1.425V",,"0.85V - 1.425V",,,,,,,65W,"Cool'n'Quiet 3.0, CoolCore, Dual Dynamic Power Management, core C1, C1E states, package S0, S1, S2, S3, S4, S5 states","55°C - 74°C",2009,2009,,"Desktop computers",,,1,,,,,,,,,,,,,,,
NEW,"ADO5400IAA5DO (Athlon 64 X2 5400+)",,1,X,AMD,ADX2400CK23GQ,,,,,CPU,"Athlon II","Athlon 64 X2",240,,Regor,100F62,X86-64,"MMX, MMX+, 3DNow!, 3DNow!+, SSE, SSE2, SSE3, SSE4a, AMD64, EVP",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,K10,AMD,No,2,,,64,,,2.8GHz,"533MHz RAM, 2GHz HT",,14,integrated,none,,"2x 64k/64k",,"2x 64k","2x 64k","1X 1M",none,NA,NA,NA,,"DDR2, DDR3","uOPGA-938 (UOF938)",,"Socket AM2+, AM3",234M,"45n SOI",CMOS,117.5,"0.85V - 1.425V",,"0.85V - 1.425V",,,,,,,65W,"Cool'n'Quiet 3.0, CoolCore, Dual Dynamic Power Management, core C1, C1E states, package S0, S1, S2, S3, S4, S5 states","55°C - 74°C",2009,2009,60,"Desktop computers",,,1,,,,,,,,,,,,,,,
